Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"May 24, 2023",30.21,30.61,29.81,30.54,30.52,721419000
"May 23, 2023",31.00,31.29,30.63,30.69,30.67,356253000
"May 22, 2023",30.90,31.52,30.68,31.18,31.16,372000000
"May 19, 2023",31.54,31.58,30.92,31.26,31.25,473908000
"May 18, 2023",30.41,31.83,30.32,31.68,31.66,748725000
"May 17, 2023",29.58,30.20,29.43,30.18,30.16,432535000
"May 16, 2023",28.84,29.87,28.83,29.21,29.20,449405000
"May 15, 2023",28.51,28.97,28.15,28.95,28.94,293926000
"May 12, 2023",28.53,28.78,28.05,28.34,28.33,274222000
"May 11, 2023",28.90,28.95,28.25,28.58,28.56,322149000
"May 10, 2023",29.00,29.11,28.46,28.89,28.87,369350000
"May 9, 2023",28.90,28.97,28.45,28.57,28.56,314869000
"May 8, 2023",28.52,29.22,28.35,29.15,29.14,344979000
"May 5, 2023",27.83,28.75,27.73,28.68,28.67,361494000
"May 4, 2023",27.65,27.86,27.24,27.56,27.55,321850000
"May 3, 2023",27.84,28.37,27.47,27.80,27.79,383387000
"May 2, 2023",28.68,28.84,28.08,28.21,28.20,402730000
"May 1, 2023",27.84,29.06,27.78,28.91,28.90,570329000
"Apr 28, 2023",27.23,27.76,27.07,27.75,27.74,292216000
"Apr 27, 2023",27.36,27.50,26.63,27.23,27.21,377161000
"Apr 26, 2023",27.00,27.33,26.70,26.96,26.94,406337000
"Apr 25, 2023",27.08,27.25,26.23,26.24,26.23,378527000
"Apr 24, 2023",27.01,27.37,26.67,27.04,27.03,339282000
"Apr 21, 2023",26.95,27.18,26.72,27.12,27.11,345103000
"Apr 20, 2023",27.67,28.03,27.00,27.10,27.09,427713000
"Apr 19, 2023",27.36,28.00,27.23,27.93,27.92,358660000
"Apr 18, 2023",27.53,28.11,27.36,27.67,27.65,604812000
"Apr 17, 2023",26.57,27.01,26.43,27.00,26.99,321471000
"Apr 14, 2023",26.50,26.88,26.22,26.76,26.74,395660000
"Apr 13, 2023",26.73,26.89,26.33,26.46,26.45,353615000
"Apr 12, 2023",27.37,27.47,26.45,26.50,26.48,446259000
"Apr 11, 2023",27.72,27.79,27.13,27.17,27.16,314378000
"Apr 10, 2023",26.82,27.62,26.67,27.58,27.57,395279000
"Apr 6, 2023",26.58,27.08,26.43,27.04,27.02,397654000
"Apr 5, 2023",26.83,27.00,26.40,26.88,26.87,515015000
"Apr 4, 2023",27.97,28.00,27.31,27.45,27.44,368592000
"Apr 3, 2023",27.51,28.00,27.34,27.97,27.95,398716000
"Mar 31, 2023",27.14,27.83,27.10,27.78,27.76,433933000
"Mar 30, 2023",27.23,27.50,27.10,27.38,27.37,364516000
"Mar 29, 2023",26.83,27.08,26.60,26.98,26.97,393694000
"Mar 28, 2023",26.45,26.51,25.85,26.41,26.40,356104000
"Mar 27, 2023",26.84,27.00,26.36,26.53,26.52,361026000
"Mar 24, 2023",27.03,27.17,26.35,26.78,26.77,454920000
"Mar 23, 2023",27.11,27.50,26.69,27.19,27.18,564889000
"Mar 22, 2023",26.42,27.59,26.24,26.47,26.46,797295000
"Mar 21, 2023",26.18,26.39,25.38,26.20,26.19,547408000
"Mar 20, 2023",25.61,26.02,25.13,25.90,25.89,432747000
"Mar 17, 2023",25.98,26.40,25.67,25.73,25.71,848547000
"Mar 16, 2023",24.03,25.59,23.89,25.54,25.53,583253000
"Mar 15, 2023",23.76,24.29,23.36,24.23,24.22,524486000
"Mar 14, 2023",23.50,24.22,23.46,24.06,24.05,474910000
"Mar 13, 2023",22.75,23.30,22.30,22.97,22.95,421890000
"Mar 10, 2023",23.41,23.63,22.73,22.97,22.95,474866000
"Mar 9, 2023",24.17,24.45,23.38,23.44,23.42,501257000
"Mar 8, 2023",23.49,24.20,23.42,24.18,24.17,513573000
"Mar 7, 2023",0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend
"Mar 7, 2023",23.60,24.13,23.24,23.29,23.28,515154000
"Mar 6, 2023",23.89,24.25,23.49,23.55,23.54,437429000
"Mar 3, 2023",23.32,23.90,23.13,23.89,23.87,412393000
"Mar 2, 2023",22.49,23.38,22.43,23.31,23.30,389415000
"Mar 1, 2023",23.19,23.26,22.51,22.70,22.68,460026000
"Feb 28, 2023",23.37,23.83,23.21,23.22,23.20,455963000
"Feb 27, 2023",23.67,23.88,23.45,23.50,23.49,452994000
"Feb 24, 2023",23.23,23.47,22.95,23.29,23.27,589716000
"Feb 23, 2023",23.44,23.89,23.02,23.66,23.65,1117995000
"Feb 22, 2023",20.71,21.10,20.42,20.75,20.74,513184000
"Feb 21, 2023",21.00,21.49,20.62,20.66,20.64,410015000
"Feb 17, 2023",21.63,21.74,20.98,21.39,21.37,465888000
"Feb 16, 2023",22.13,22.55,21.93,22.00,21.99,412026000
"Feb 15, 2023",22.55,22.85,22.11,22.76,22.75,420575000
"Feb 14, 2023",21.58,23.05,21.37,22.97,22.96,675474000
"Feb 13, 2023",21.54,22.05,20.96,21.79,21.77,474919000
"Feb 10, 2023",21.69,22.08,20.81,21.26,21.25,550737000
"Feb 9, 2023",22.61,23.02,22.12,22.34,22.32,523876000
"Feb 8, 2023",22.39,22.88,22.01,22.20,22.19,559651000
"Feb 7, 2023",21.38,22.26,21.15,22.17,22.16,664150000
"Feb 6, 2023",20.81,21.57,20.79,21.09,21.08,452197000
"Feb 3, 2023",21.00,21.75,20.79,21.10,21.09,429366000
"Feb 2, 2023",21.00,21.95,20.70,21.71,21.69,564276000
"Feb 1, 2023",19.69,21.19,19.61,20.94,20.93,660477000
"Jan 31, 2023",19.17,19.69,18.95,19.54,19.52,498017000
"Jan 30, 2023",19.95,20.14,19.15,19.16,19.15,488611000
"Jan 27, 2023",19.46,20.63,19.41,20.36,20.35,542142000
"Jan 26, 2023",19.70,20.17,19.28,19.80,19.79,489535000
"Jan 25, 2023",18.91,19.37,18.58,19.32,19.31,449537000
"Jan 24, 2023",18.83,19.50,18.82,19.26,19.25,496204000
"Jan 23, 2023",18.06,19.25,17.82,19.19,19.18,655163000
"Jan 20, 2023",17.01,17.86,16.83,17.84,17.83,564967000
"Jan 19, 2023",17.04,17.20,16.73,16.76,16.75,452932000
"Jan 18, 2023",17.67,17.87,17.28,17.38,17.37,439624000
"Jan 17, 2023",16.90,17.73,16.90,17.70,17.69,511102000
"Jan 13, 2023",16.28,16.92,16.17,16.90,16.89,447287000
"Jan 12, 2023",16.10,16.64,15.49,16.51,16.50,551409000
"Jan 11, 2023",15.84,16.03,15.56,16.00,15.99,353285000
"Jan 10, 2023",15.51,15.96,15.47,15.91,15.90,384101000
"Jan 9, 2023",15.28,16.06,15.14,15.63,15.62,504231000
"Jan 6, 2023",14.47,15.01,14.03,14.86,14.85,405044000
"Jan 5, 2023",14.49,14.56,14.15,14.27,14.26,389168000
"Jan 4, 2023",14.57,14.85,14.24,14.75,14.74,431324000
"Jan 3, 2023",14.85,15.00,14.10,14.31,14.31,401277000
"Dec 30, 2022",14.33,14.63,14.23,14.61,14.60,310490000
"Dec 29, 2022",14.40,14.68,14.23,14.60,14.59,354923000
"Dec 28, 2022",13.93,14.26,13.88,14.04,14.03,351066000
"Dec 27, 2022",15.07,15.10,14.06,14.12,14.11,464902000
"Dec 23, 2022",15.20,15.34,14.88,15.21,15.20,349326000
"Dec 22, 2022",16.09,16.14,14.88,15.34,15.33,565045000
"Dec 21, 2022",16.11,16.63,16.10,16.50,16.49,325025000
"Dec 20, 2022",16.06,16.31,15.85,16.08,16.07,403260000
"Dec 19, 2022",16.57,16.61,16.15,16.25,16.24,354039000
"Dec 16, 2022",16.86,17.04,16.41,16.57,16.56,478232000
"Dec 15, 2022",17.15,17.32,16.70,16.95,16.94,478542000
"Dec 14, 2022",17.99,18.25,17.42,17.67,17.66,496888000
"Dec 13, 2022",18.53,18.79,17.71,18.07,18.06,656589000
"Dec 12, 2022",17.04,17.54,16.80,17.53,17.52,457328000
"Dec 9, 2022",17.16,17.58,16.98,17.00,16.99,465338000
"Dec 8, 2022",16.27,17.18,15.96,17.17,17.16,515456000
"Dec 7, 2022",15.77,16.19,15.67,16.12,16.11,372388000
"Dec 6, 2022",16.53,16.57,15.82,15.99,15.98,352694000
"Dec 5, 2022",16.68,17.00,16.47,16.61,16.60,352255000
"Dec 2, 2022",16.66,16.93,16.44,16.88,16.86,371389000
"Dec 1, 2022",17.00,17.26,16.64,17.14,17.12,470977000
"Nov 30, 2022",0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend
"Nov 30, 2022",15.70,16.93,15.60,16.92,16.91,565298000
"Nov 29, 2022",15.83,15.93,15.52,15.64,15.62,298384000
"Nov 28, 2022",16.03,16.36,15.73,15.83,15.81,303741000
"Nov 25, 2022",16.32,16.49,16.17,16.27,16.26,167934000
