Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Aug 3, 2023",43.80,45.12,43.80,44.51,44.50,324176000
"Aug 2, 2023",45.83,45.84,43.39,44.27,44.25,530142000
"Aug 1, 2023",46.46,46.90,46.03,46.51,46.49,237858000
"Jul 31, 2023",46.75,47.13,46.51,46.73,46.71,251055000
"Jul 28, 2023",46.67,47.03,46.38,46.75,46.73,331194000
"Jul 27, 2023",46.52,47.40,45.75,45.90,45.88,455976000
"Jul 26, 2023",46.02,46.05,44.63,45.45,45.43,364237000
"Jul 25, 2023",44.94,46.18,44.92,45.68,45.66,348081000
"Jul 24, 2023",44.73,45.11,44.04,44.61,44.59,382516000
"Jul 21, 2023",45.79,45.87,44.10,44.31,44.29,963769000
"Jul 20, 2023",46.51,47.09,45.06,45.52,45.50,537865000
"Jul 19, 2023",47.46,47.82,46.74,47.08,47.06,427502000
"Jul 18, 2023",46.70,47.90,45.73,47.49,47.48,569164000
"Jul 17, 2023",46.29,46.50,45.26,46.46,46.44,510488000
"Jul 14, 2023",46.58,48.09,45.06,45.47,45.45,772075000
"Jul 13, 2023",44.52,46.15,44.49,45.98,45.96,478204000
"Jul 12, 2023",43.03,43.94,42.78,43.90,43.89,481277000
"Jul 11, 2023",42.48,42.76,42.07,42.40,42.39,298244000
"Jul 10, 2023",42.66,42.81,41.65,42.18,42.16,353908000
"Jul 7, 2023",42.32,43.21,42.18,42.50,42.49,355881000
"Jul 6, 2023",41.84,42.18,41.35,42.10,42.09,303582000
"Jul 5, 2023",42.13,43.18,42.08,42.32,42.30,323618000
"Jul 3, 2023",42.52,42.90,42.20,42.41,42.40,198209000
"Jun 30, 2023",41.68,42.55,41.50,42.30,42.29,501148000
"Jun 29, 2023",41.56,41.60,40.60,40.82,40.81,380514000
"Jun 28, 2023",40.66,41.85,40.52,41.12,41.10,582639000
"Jun 27, 2023",40.80,41.94,40.45,41.88,41.86,462175000
"Jun 26, 2023",42.46,42.76,40.10,40.63,40.62,594322000
"Jun 23, 2023",42.46,42.81,42.01,42.21,42.19,358140000
